CodigoMunicipio,MunicipioResidencia,Total_casos_dengue,POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001,Msau28,Mgrd06,Mgrd08,Mgrd11,IndiceSurto,Surto
351980,ICEM,86,7819,25025.6,0.72,0.448,97.99,92.51,100.0,87.7,162.7,16.49,100.0,84.51,99.6,NAO,Sim,Não,Não,Não,1099.884895766722,True
351990,IEPE,47,7619,52789.96,0.736,0.463,88.53,85.31,90.54,48.29,432.9,9.96,100.0,97.13,91.59,NAO,Sim,Não,Não,Não,616.8788554928468,True
352000,IGARACU DO TIETE,1649,23106,15357.34,0.727,0.369,98.43,98.43,99.83,86.54,491.7,46.7,100.0,97.87,98.71,NAO,Sim,Não,Não,Não,7136.674456851035,True
352010,IGARAPAVA,84,26212,42208.35,0.768,0.675,95.26,95.26,100.0,94.16,172.2,24.5,100.0,91.56,94.96,NAO,Não,Não,Não,Não,320.4639096596979,True
352020,IGARATA,519,10605,24936.71,0.711,0.431,48.43,24.67,33.87,42.7,240.4,22.11,100.0,93.99,89.6,NAO,Não,Não,Não,Não,4893.917963224894,True
352030,IGUAPE,2438,29115,51053.14,0.726,0.561,58.62,52.95,59.24,83.58,194.3,22.87,100.0,85.99,77.77,NAO,Sim,Sim,Não,Sim,8373.690537523613,True
352040,ILHABELA,4198,34934,385605.85,0.756,0.497,74.87,53.11,40.41,54.44,333.1,17.87,100.0,100.0,77.31,SIM,Sim,Sim,Sim,Sim,12016.946241483942,True
352042,ILHA COMPRIDA,881,13419,118036.8,0.725,0.481,80.96,41.58,44.36,59.95,307.5,21.4,100.0,,13.21,NAO,Sim,Sim,Sim,Não,6565.317832923467,True
352044,ILHA SOLTEIRA,82,25549,26261.81,0.812,0.483,100.0,93.84,91.75,98.46,262.3,39.92,100.0,93.84,93.18,SIM,Sim,Sim,Não,Sim,320.95189635602173,True
352050,INDAIATUBA,6673,255748,87525.86,0.788,0.487,94.46,93.53,96.36,99.32,192.6,29.76,100.0,100.0,95.42,SIM,Não,Não,Não,Não,2609.2090651735302,True
352060,INDIANA,38,5090,17846.96,0.761,0.452,100.0,100.0,100.0,81.36,209.5,0.0,100.0,98.23,97.97,NAO,Sim,Não,Não,Não,746.5618860510805,True
352070,INDIAPORA,414,4035,28664.34,0.751,0.478,75.32,73.04,100.0,97.77,210.4,8.39,100.0,100.0,96.88,SIM,Sim,Não,Não,Não,10260.223048327138,True
352080,INUBIA PAULISTA,3,3615,33790.08,0.759,0.372,90.54,89.57,100.0,99.99,162.9,13.69,100.0,98.67,93.9,SIM,Sim,Não,Não,Não,82.98755186721992,False
352090,IPAUSSU,211,13712,32911.22,0.727,0.479,97.18,97.18,100.0,88.01,225.6,76.35,100.0,97.18,98.69,SIM,Sim,Sim,Não,Não,1538.7981330221703,True
352100,IPERO,507,36459,25010.8,0.719,0.414,71.76,55.21,89.25,67.92,145.7,32.11,100.0,100.0,82.74,SIM,Sim,Sim,Não,Sim,1390.603143256809,True
352110,IPEUNA,1042,6831,121154.37,0.753,0.47,94.98,94.98,92.87,67.1,193.2,24.02,100.0,94.98,99.23,NAO,Sim,Não,Não,Não,15253.989167032643,True
352115,IPIGUA,117,6761,22360.76,0.73,0.377,52.61,52.61,100.0,92.4,298.4,7.19,100.0,58.56,96.34,NAO,Sim,Não,Não,Não,1730.5132376867327,True
352120,IPORANGA,148,4046,15181.67,0.703,0.532,44.96,42.51,93.88,99.97,155.1,29.86,100.0,74.15,80.34,SIM,Sim,Não,Não,Não,3657.9337617399897,True
352130,IPUA,43,14454,26361.5,0.749,0.598,100.0,100.0,96.52,83.45,375.2,3.56,100.0,95.92,99.43,NAO,Sim,Não,Não,Não,297.495502974955,False
352140,IRACEMAPOLIS,1080,21967,85178.34,0.776,0.453,99.09,95.6,100.0,100.0,136.3,1.29,100.0,97.05,99.81,NAO,Sim,Não,Não,Não,4916.465607502162,True
352150,IRAPUA,402,6867,22987.71,0.713,0.364,86.09,85.58,100.0,98.84,174.0,5.82,100.0,89.98,99.7,NAO,Não,Não,Não,Não,5854.084753167322,True
352160,IRAPURU,43,7085,13115.75,0.712,0.447,70.5,70.5,100.0,63.75,278.4,46.12,100.0,97.78,80.39,SIM,Sim,Não,Não,Não,606.9160197600565,True
352170,ITABERA,768,17983,58380.87,0.693,0.515,68.28,59.63,100.0,87.27,130.3,28.55,100.0,88.97,93.55,SIM,Sim,Sim,Sim,Sim,4270.700105655341,True
352180,ITAI,1485,25180,33471.94,0.713,0.459,65.19,64.47,85.83,98.66,159.1,24.32,100.0,88.84,94.28,SIM,Sim,Não,Não,Sim,5897.537728355838,True
352190,ITAJOBI,483,16989,61001.88,0.73,0.393,82.61,82.61,100.0,80.0,243.6,4.68,100.0,82.61,99.08,NAO,Sim,Não,Não,Não,2843.0160692212608,True
352200,ITAJU,529,3618,58993.27,0.705,0.375,84.69,84.69,90.78,85.71,187.8,44.74,100.0,100.0,98.16,NAO,Sim,Não,Não,Não,14621.337755666114,True
